Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,AGN
2000-01-03,31.131128000000004,9.459574,,,1.251975,,16.274673,15.5,,32.34642,6.266493,24.468919,16.390568,45.992164,20.359771,321.25,8.349001,6.7154729999999985,16.557748999999998,34.900822
2000-01-04,29.89413,9.1893,,,1.213892,,14.9094,14.625,,31.063717,6.16076,22.513069,15.955623,42.478873,19.739283,300.0,8.244639,6.7154729999999985,16.193479,33.77901
2000-01-05,30.760029,9.172408,,,1.218652,,15.204175,15.0,,31.398335,6.1184660000000015,21.97209,15.864055,39.843904,19.855624,283.5,8.289366000000001,6.832061,15.895439,34.402239
2000-01-06,33.234026,9.493358,,,1.194851,,15.328291,16.0,,31.649299,6.125515,22.637911,16.184541,38.326801,21.174162,236.125,8.296808,7.065237,15.5974,34.900822
2000-01-07,33.893758,9.59471,,,1.228173,,16.072985,16.25,,32.262765,6.527304,23.178891,16.505027,41.520701,22.647822,248.375,8.602453,6.9486490000000005,15.895439,37.331415
2000-01-10,33.728825,9.527142,,,1.290058,,16.693563,17.5,,33.712777,6.407472,23.761483,15.520678,44.035898,21.251722,285.5,8.453364,6.925332000000001,16.094132000000002,38.702518
2000-01-11,33.151559000000006,9.392005,,,1.347182,,15.545493,17.25,,33.880086,6.414521,23.678257,15.200192,43.437042,20.282209,278.4375,8.453364,6.902014,16.127248,38.45322700000001
2000-01-12,33.234026,9.25145,,,1.290058,,15.467921,18.125,,34.577207,6.393374,23.71987,14.948381,42.55872,20.631234,254.0,8.214821,6.9486490000000005,15.895439,40.821497
2000-01-13,33.234026,9.166574,,,1.304339,,16.290187,18.875,,35.162789000000004,6.463863,24.926671,15.291759,43.197501,20.476113,232.8125,8.199912,7.041919999999998,15.961670000000002,41.631695
2000-01-14,32.759843,9.370276,,,1.290058,,16.460846,20.1875,,37.142613,6.344032,25.46765,15.726704000000002,43.676586,20.088307,230.0,8.155185000000001,6.902014,16.061017,44.498548
2000-01-18,32.038261,9.166574,,,1.294818,,15.886810999999998,19.5,,34.772401,6.344032,26.424768,14.650787,45.672774,19.118794,211.5,8.140276,6.7621080000000005,16.094132000000002,42.691184
2000-01-19,32.59491,8.979847,,,1.275777,,15.669609,19.59375,,34.967595,6.315836,26.091857,13.780897,44.714601,19.157575,224.75,7.946460000000001,6.785425999999998,16.027901,43.439058
2000-01-20,31.378528000000006,8.708245,,,1.204371,,15.840268,19.5,,34.660862,6.273542,26.050244,14.902598,43.516889,18.537087,234.0,7.752644,6.6921550000000005,16.027901,42.379569
2000-01-21,31.316678000000003,8.470593,,,1.152007,,15.607551,18.9375,,35.692601,6.280591,24.635373,14.19295,43.916126,17.955379,269.0,7.588646000000002,6.785425999999998,15.961670000000002,40.385237
2000-01-24,30.595096,8.148066,,,1.142487,,15.033516,17.25,,35.692601,6.245347,24.59376,14.032707,43.756433,18.730989,262.0625,7.186105,6.668838,15.895439,39.014133
2000-01-25,30.14153,8.046215,,,1.1044040000000002,,15.63858,20.0,,33.907971,6.238298,23.761483,14.627895,43.237423,19.273917,279.3125,7.275558,6.389026,15.862324,38.016967
2000-01-26,31.770244,8.063189999999999,,,1.209132,,15.18866,18.5,,32.318535,6.253862000000002,24.177623,15.360435,43.636661,19.545379,277.5,7.693009,6.622203,15.729862,38.51555
2000-01-27,31.749628,8.368742,,,1.309099,,15.561008,18.46875,,33.852201,6.06285,24.219236,15.085732,43.71650800000001,19.157575,281.125,7.603555,6.738791,15.928555,39.575039
2000-01-28,30.430163,8.65732,,,1.247215,,14.288821,17.625,,34.07528,6.055776,23.92794,15.383326,43.476967,18.498306,270.0625,7.782462,6.575567,15.663631,40.135945
2000-01-31,30.883729,8.844046,,,1.19009,,13.668243,18.0,,35.748371,6.027478,23.05405,15.909839000000002,42.279254,18.381964,249.125,7.603555,6.738791,15.630515,40.198268
2000-02-01,31.048662,8.928922,,,1.285297,,13.869931,18.28125,,36.027219,6.4095010000000014,23.262118,16.230325,45.353383,19.002453,239.0625,7.573736999999999,6.55225,15.762977,41.257757
2000-02-02,30.512629,8.979847,,,1.32338,,15.219689,18.03125,,35.385868,6.268011,23.678257,16.253217000000006,48.866674,18.84733,233.625,7.588646000000002,6.575567,15.796093,42.691184
2000-02-03,30.244613,9.030773,,,1.337661,,17.143483,19.5,,35.85991,6.3104580000000015,24.38569,16.459244,49.665149,19.080013,245.375,7.424647999999999,6.575567,15.630515,43.750673
2000-02-04,29.378714,9.353301,,,1.199611,,18.369126,19.28125,,33.573353000000004,6.338756,25.25958,16.092973999999998,48.706977,19.157575,235.0,7.320285,6.482297,15.663631,42.254923
2000-02-07,28.904531,9.183549,,,1.142487,,19.129334,20.65625,,35.692601,6.3104580000000015,25.342809,15.658029,50.783011,19.118794,228.625,7.2457410000000015,6.482297,15.5974,43.376736
2000-02-08,28.925148,9.268425,,,1.123445,,20.789382,20.6875,,37.672425,5.206835,25.009898,15.360435,50.463624,18.730989,240.9375,7.171196000000001,6.389026,15.464938,43.25209
2000-02-09,28.904531,9.794654,,,1.10678,,21.735764,21.03125,,38.313777,4.810663,26.716064000000006,15.131516,48.387589,17.761476000000005,234.875,7.0519240000000005,6.295756,15.431822,42.317246
2000-02-10,28.368498,9.540027,,,1.099643,,22.651118,21.25,,36.975304,4.555981,26.466381,15.108624,48.986442,17.412451,229.0,7.111560000000001,6.295756,15.498053,42.254923
2000-02-11,27.358283,9.234474,,,1.132966,,22.44943,22.75,,36.584916,4.5276830000000015,26.674451,14.605003,48.148046,16.714402,233.0625,6.962471000000002,5.969309,15.431822,40.821497
2000-02-14,27.337666,9.523052,,,1.094883,,22.247742,21.625,,38.146468,4.414491,26.54961,14.307409,48.826749,17.800257000000006,230.375,6.515203,6.1325330000000005,15.696746,43.002798
2000-02-15,29.39933,9.540027,,,1.066321,,22.061568,21.75,,38.536855,4.5276830000000015,26.175085,14.334932,52.30011500000001,17.994159,222.5,6.604657,6.295756,15.729862,40.634528
2000-02-16,29.131314,9.421201,,,1.067509,,24.373223,21.875,,39.345516,4.683322,26.008629,14.220253,51.741183,17.373670999999998,246.125,6.634474000000001,6.0625800000000005,15.464938,39.138779
2000-02-17,29.564264,9.302375,,,1.068697,,25.211004,21.5,,39.233976,4.563055,25.67572,13.876214,61.961663,17.683915,252.0,6.768655,6.15585,15.531169,39.263424
2000-02-18,28.883914,8.861022,,,1.028238,,24.388738,21.5,,39.261861,4.379118,24.843443,13.830343,59.885631,16.791964,241.6875,6.7090190000000005,5.945992,15.796093,40.759174
2000-02-22,29.729197,9.064723,,,1.018717,,24.396482,20.90625,,38.341661,4.442789,24.38569,13.669791,58.448375,17.25733,242.125,6.545021,5.945992,15.762977,40.385237
2000-02-23,30.648016,8.72522,,,0.994915,,24.730056,20.53125,,37.560886,4.555981,24.344077,13.440432,63.239225,16.869524,252.0625,6.4704760000000014,5.876039,15.829208,40.44755900000001
2000-02-24,30.212262,8.623369,,,0.999676,,26.405618,21.28125,,37.867619,4.591353,25.883787,13.073458,68.18977,16.365377,274.8125,6.500294,5.7361330000000015,15.630515,39.38807
2000-02-25,28.469247,8.708245,,,0.971114,,24.450795,20.25,,37.70031,4.655024,25.800561,12.867035,69.068095,16.210256,267.0625,6.351205,5.712816,15.564284,39.762008
2000-02-28,28.697499,8.996822,,,0.956833,,24.280136,18.875,,38.285892,4.471087000000002,25.509263,13.555112,64.51678100000001,16.210256,256.75,6.4555669999999985,5.712816,15.762977,39.824331
2000-02-29,29.278504,8.962872,,,0.966353,,25.319605,19.75,,37.393577,4.655024,26.175085,13.417497,66.353276,15.977572,261.25,6.3213870000000005,5.619545,16.193479,39.886653
2000-03-01,28.593748,9.183549,,,1.1044040000000002,,24.916229,20.25,,36.557031,5.99918,26.799293,13.555112,69.706869,16.093913,278.625,6.366114,5.433004,16.226594,38.45322700000001
2000-03-02,28.572998,9.098673,,,1.1044040000000002,,20.013659,19.625,,38.871473,6.317532,26.840906,13.302817,67.26149699999999,15.822451,268.0,6.2319330000000015,5.57291,15.895439,37.643029
2000-03-03,29.714258,8.810096000000003,,,1.128206,,22.495973,20.75,,38.787819,6.048701,28.130933,13.440432,68.98824499999999,16.326598,268.375,6.485385,5.596227,15.994785999999998,36.770509
2000-03-06,28.967251,8.487568,,,1.094883,,21.301359,23.75,,36.306068,5.829391,27.465113,13.279881,101.566023,15.706109,254.0,6.2170239999999986,5.806086,15.928555,36.458894
2000-03-07,27.473238,8.046215,,,1.047279,,20.153289,27.5,,35.525292,5.7940190000000005,26.965747,12.775292,90.706766,15.00806,262.4375,6.0828440000000015,5.596227,15.696746,36.14728
2000-03-08,27.410988,8.419668,,,1.004436,,19.625797,26.75,,34.911826,6.126521,26.591223,12.798227,97.094566,15.395864,265.0,6.381023,5.876039,15.928555,35.337082
2000-03-09,26.871483,8.487568,,,1.099643,,19.39308,29.0625,,33.712777,6.451948000000002,26.299927,12.935842999999998,97.733348,15.395864,286.0,6.202115,5.759451,16.094132000000002,38.328581
2000-03-10,27.058235,8.402693,,,1.090123,,20.665266,26.0,,32.569499,6.338756,26.091857,12.889971,90.706766,15.473426000000002,296.0,6.41084,5.969309,15.961670000000002,37.45606
2000-03-13,26.228227,8.300842,,,1.032998,,20.386006,25.75,,32.569499,5.744497,25.842174,12.61474,83.839877,15.318304,284.75,6.4555669999999985,5.893237,15.994785999999998,38.016967
2000-03-14,26.269728000000004,8.453617999999999,,,1.0568,,20.215347,24.0,,32.067571,5.7940190000000005,25.967016,13.142266,77.531927,15.434645000000002,269.75,6.187206,5.940195,16.226594,35.711019
2000-03-15,27.390237,8.827071,,,0.990155,,20.742839,24.625,,33.182965,5.772795,25.717333,15.080329999999998,72.98062,16.985866,240.25,7.171196000000001,6.480213,16.292825,35.212436
2000-03-16,29.237003,9.370276,,,0.990155,,23.442355,24.59375,,35.748371,6.069925,27.506726,16.146867999999998,75.41597,18.420745,229.125,7.752644,6.973273,16.359056,40.322914
